BDL,CLT
DTW,PHX
ORD,BHM
FWA,DTW
PHL,MEM
DFW,LGA
DFW,EWR
BOS,RSW
BOS,TPA
JFK,BUF
RDU,JFK
EWR,LAX
PBI,EWR
SAN,JFK
ATL,LGA
ONT,ATL
DFW,DEN
GJT,DFW
DFW,GSP
BNA,DCA
ORD,MSP
MCI,MSP
ORD,MEM
PIT,DTW
DTW,MSP
DCA,MSP
DFW,CVG
MSP,CVG
IAH,SLC
BTM,SLC
AUS,SLC
BFL,SFO
GTF,DEN
MSP,PHL
ABQ,LAS
ABQ,LAX
BWI,MHT
DAL,ELP
HOU,LAS
LAS,SAN
LAS,TUS
MCO,PIT
PBI,TPA
PVD,MDW
SAN,OAK
TPA,HOU
MCI,EWR
CVG,EWR
DAY,EWR
DCA,CLE
CLT,EWR
CLT,CLE
EWR,TYS
ITO,HNL
TYS,EWR
RDU,EWR
IAD,SFO
ICT,DEN
RIC,MEM
TYS,CVG
SNA,DFW
CMH,DFW
ORD,DFW
SNA,ORD
SEA,KTN
BOS,FLL
IAH,CLE
TPA,IAH
SNA,IAH
ATL,CVG
JFK,SLC
MCO,LGA
SNA,ATL
TRI,ATL
DAY,DEN
SNA,DEN
SNA,SJC
TXK,DFW
DFW,LIT
MQT,GRB
IND,LAS
FNT,DTW
SNA,MSP
IND,LAX
FSD,CVG
GJT,SLC
SFO,SBA
PDX,LMT
SNA,SFO
BUR,SFO
DEN,CLT
SNA,PHX
TPA,LAS
AUS,MDW
BNA,MCO
BWI,CMH
BWI,PVD
HOU,AUS
LAS,MCI
MCI,MDW
OAK,MDW
ORF,BNA
PDX,MDW
PHL,CMH
PHX,SMF
RDU,TPA
SAN,SMF
SFO,LAS
SMF,SEA
ROC,CLE
XNA,IAH
BNA,EWR
LGB,PHX
CHS,MEM
CHS,EWR
LAS,ORD
MHT,ORD
MSP,MCI
DTW,STL
STL,DTW
FAT,DFW
MIA,DFW
SEA,BUR
LGB,OAK
SLC,IAH
BOS,IAH
FLL,SLC
CRW,CVG
OKC,CVG
AVL,ATL
DAY,BWI
CLE,DFW
GPT,DFW
ORD,OMA
LGA,XNA
MSP,TPA
HTS,CVG
PHL,BOS
PHL,ORD
MSY,ORD
IND,CLT
BHM,MDW
BOI,SEA
BWI,SDF
DAL,OKC
ISP,FLL
LBB,DAL
MCO,MSY
MDW,OMA
MHT,PHL
OAK,AUS
PHX,ELP
RNO,PDX
SAT,BWI
SMF,BUR
TPA,BWI
JAX,EWR
DSM,IAH
BUR,PHX
TPA,ORD
LNK,DEN
FAR,MSP
BUF,DTW
IAH,SFO
SFO,SEA
IAD,MCO
PSP,DFW
MIA,SJU
BHM,DFW
DFW,BOS
RDU,DFW
DFW,FLL
LGB,SEA
SJU,EWR
EWR,PBI
FAY,ATL
MSP,PHX
MSP,JFK
IDA,SLC
RDM,SFO
DTW,LAS
BWI,HOU
CMH,LAS
MCO,BUF
MSY,DAL
OAK,SNA
PDX,SMF
PVD,MCO
TUL,PHX
TUS,ABQ
SAV,EWR
OKC,ORD
MSN,MSP
IAH,TUL
BDL,ORD
DCA,EWR
DCA,MEM
LAX,ASE
OKC,MSP
BOS,IND
IND,BOS
CLT,MEM
TYS,MEM
CAE,MEM
RSW,DFW
BDL,DFW
MEM,DFW
SDF,DFW
STL,LAS
SEA,PSP
SAN,PDX
SNA,SEA
SEA,SAN
PDX,SAN
LAX,PDX
BOS,RIC
BUF,FLL
EWR,MCO
IAD,BOS
RIC,BOS
SJC,LGB
RSW,EWR
EWR,PDX
EWR,SJU
LAX,CLE
SFO,CVG
EWR,SLC
IAD,SLC
SEA,CVG
BDL,MCO
BOS,MCO
BDL,PBI
TPA,LAX
LGA,PBI
FLL,LAX
EWN,ATL
TUL,CVG
OMA,DEN
IND,DEN
DEN,SAN
CAK,RSW
IND,MCO
MDW,SRQ
PHF,BOS
ROC,BWI
DFW,HOU
DFW,SHV
VPS,DFW
ORD,DAL
DAL,ORD
MDW,DTW
DTW,FLL
PHX,DTW
MCI,MEM
MSP,LGA
MSP,RSW
CMH,MSP
GRR,MSP
LAN,DTW
BOS,RDU
BNA,JFK
DCA,HSV
IND,CVG
OMA,CVG
LGB,SLC
ASE,DEN
MCO,LAX
ATL,ORD
ORD,DCA
DCA,ORD
JAC,DEN
HNL,LAX
BOI,DEN
ATL,CLT
BOI,PHX
BWI,PHX
DEN,PHL
DFW,CLT
FLL,DCA
IAH,CLT
JAX,CLT
LAS,PHL
