Month,Pharma1,Pharma2,Aluminum,FMCG,Housing,Software1,Infrastructure,Automobile,Refineries,Bank,Power,Steel,Software2
Sep-03,82.36,528.7,78.46,183.3,99.81,282.76,107.48,59.3,222,42.61,17.79,160.09,125.35
Oct-03,103.9,597.6,93.81,174.6,103.98,296.34,135.58,85.45,243.15,45.69,22.76,211.2,134.34
Nov-03,96.11,635.83,105.94,178.25,110.48,307.78,133.93,88.25,243.95,44.42,25.9,212.73,153.89
Dec-03,105.38,714.02,120.28,204.7,128.87,347.73,175.78,97.26,286.5,50.81,30.29,261.64,173.76
Jan-04,96.11,699.7,99.33,188.75,129.96,324.7,166.5,102.89,279.8,56.21,36.2,238.3,155.77
Feb-04,95.65,620.02,106.74,174.05,121.98,316.99,187.73,116.56,277.32,55.22,33.54,253.18,145.75
Mar-04,93.6,486.98,103.95,154.25,128.82,308.63,191.45,116.14,269.02,57.15,36.38,225.96,135.94
Apr-04,109.46,434.75,95.2,141.2,118.96,321.68,189.12,117.34,263.2,60.63,36.67,210.82,154.45
May-04,93.66,398.13,77.25,137.1,115.77,325.56,148.18,105.1,215.25,43.87,25.31,174.55,152.72
Jun-04,84.96,367.7,85.24,127.3,103.43,345.18,116.18,110.49,214.8,40.63,22.39,177.23,159.61
Jul-04,99.6,379.9,94.05,116.2,115.01,388.44,128.67,112.93,244.45,41.7,25.49,230.97,164.03
Aug-04,95.22,352.35,100.67,112,111.29,393.73,138.72,107.14,237.78,41.78,25.05,222.63,173.55
Sep-04,118.42,368.43,115.11,125.45,121.96,423.8,142.43,107.03,259.1,44.18,30.28,255.38,178.98
Oct-04,111.8,375.77,101.39,124.7,127.9,476.6,138.22,111.16,264.63,42.21,28.95,254.23,197.25
Nov-04,110.98,396.98,111.66,144.55,160.11,537.09,150.53,122.41,258.38,49.98,33.11,285.82,229.85
Dec-04,126.9,432.65,121.86,143.5,153.22,522.25,163.67,136.13,266.9,61.56,37.69,340.66,224.4
Jan-05,114.7,368.1,111.07,159.85,155.56,516.81,167.55,134.9,266.32,60.65,37.15,341.15,211.36
Feb-05,104.08,359.82,119.1,144,155.5,559.29,180.96,134.26,278.02,67.41,39.36,373.32,209.74
Mar-05,101.92,369.55,110.49,131.75,145.32,563.14,165.86,124.29,272.98,61.98,34.49,354.32,201.33
Apr-05,105.48,318.57,101.33,137.7,146.17,471.84,160.63,110.75,263.85,55.18,33.48,301.2,189.48
May-05,115.78,362.45,96.54,143.15,152.43,562.67,174.44,128,267.63,63.28,37.3,320.69,214.77
Jun-05,125.44,376.6,102.56,163.6,176.79,589.41,188.99,139.65,320.95,64.31,36.32,300.58,229.66
Jul-05,134.52,417.77,108.5,166.95,185.14,567.3,211.71,169.5,351.45,75.56,37.86,325.37,220.68
Aug-05,136.72,399.93,122.52,165.65,180.97,594.06,222.16,180.45,359.77,75.17,43.49,345.26,218.79
Sep-05,152.02,426.27,125.59,181.15,207.93,629.25,252.11,189.13,396.75,88.56,46.62,374.29,223.08
Oct-05,143.96,403.65,97.45,161.4,193.66,630.98,233.23,178.05,381.27,79.09,38.17,299.66,218.82
Nov-05,159.06,456.85,114.26,181.95,225.44,671.02,282.08,227.55,416.45,84.56,43.02,308.63,253.41
Dec-05,177.36,489.25,130.2,197.25,241.07,749.19,307.37,256.02,444.82,85.62,42.05,336.11,278.07
