Date,Pharma,FMCG,Power,Steel
21-Mar-96,65,71,14.19,109.3
22-Mar-96,65.63,71,14.28,108.86
25-Mar-96,65,70.5,14.19,111.95
26-Mar-96,65.63,70.5,14.09,115.48
27-Mar-96,65,70.5,14.19,116.37
29-Mar-96,65,71,14.09,116.66
2-Apr-96,65,71.5,14.38,119.46
3-Apr-96,66.88,71.5,14.48,120.05
4-Apr-96,66.25,71.5,14.48,119.17
5-Apr-96,66.25,72,14.67,121.82
8-Apr-96,66.25,72,14.76,125.21
9-Apr-96,65.63,72,14.57,126.38
10-Apr-96,66.25,71.5,14.38,127.27
11-Apr-96,66.25,71.5,14.38,126.09
12-Apr-96,66.25,71.5,14.19,126.97
15-Apr-96,66.25,73,14.76,126.97
16-Apr-96,66.88,76,14.67,126.68
17-Apr-96,68.13,79.5,15.34,134.49
18-Apr-96,71.25,78,16.6,138.02
22-Apr-96,71.25,75.5,16.79,133.6
23-Apr-96,70,76,16.79,138.17
24-Apr-96,72.5,78,17.08,150.25
25-Apr-96,73.75,80,16.41,144.94
26-Apr-96,71.88,79,15.83,141.26
30-Apr-96,70,79.5,15.73,143.77
2-May-96,70.63,78.5,16.02,142.29
3-May-96,70.63,78,16.21,138.46
6-May-96,71.25,77,15.83,133.6
8-May-96,71.88,79.5,16.12,133.9
9-May-96,71.88,77,15.92,129.63
10-May-96,72.5,78,15.83,129.33
13-May-96,71.25,77.5,15.73,138.17
14-May-96,71.25,78,15.92,142.59
15-May-96,71.25,78,15.83,141.85
16-May-96,72.5,78,16.02,143.62
17-May-96,73.13,77,15.83,142.88
20-May-96,73.13,76.17,15.63,138.02
21-May-96,72.5,76.48,15.39,137.87
22-May-96,72.5,76.42,15.54,138.32
23-May-96,74.38,77.13,15.39,138.17
24-May-96,73.75,77.48,15.44,138.61
27-May-96,72.5,76.4,15.39,135.81
28-May-96,71.88,76.8,15.44,134.19
29-May-96,73.13,77.4,15.8,142.88
30-May-96,72.5,77.58,15.71,139.64
31-May-96,73.75,78.15,15.73,142.59
3-Jun-96,75,79.2,15.97,149.07
4-Jun-96,77.5,80.5,15.83,148.77
5-Jun-96,78.13,82.2,16.04,148.04
6-Jun-96,76.88,82.23,16.19,149.66
7-Jun-96,77.5,83.28,16.31,151.43
10-Jun-96,77,85.5,17.13,149.51
11-Jun-96,76.5,86.38,17.2,150.69
12-Jun-96,76.88,85.05,17.85,150.39
13-Jun-96,78.75,84.7,18.41,150.54
14-Jun-96,81.75,87,19.88,154.37
